   Runnr,   Alpha,      Cd,      Cl,      Cm,      Cn,      Ct,Cd-press,Cl-press,      Re,       M,       Q,       V,  Z_w.r.,    Flap, Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023, Cpl_024, Cn-corr, Ct-corr, Cm-corr,
9,5.522,0.012166,0.524,0.0048,0.5228,-0.038314,0.012942,0.5239,1.00E+06,0.182,2364.01,62.44,0,0,0.15376,0.1121,0.04572,-0.02099,-0.08465,-0.23435,-0.40061,-0.48587,-0.57455,-0.65652,-0.73795,-0.77369,-0.79643,-0.81523,-0.86603,-0.92472,-1.035,-1.09609,-1.15236,-1.22191,-1.32643,-1.44753,-1.65102,-1.89753,0.16218,0.16326,0.99108,0.83603,0.64191,0.51509,0.42342,0.34091,0.26626,0.21582,-0.02124,-0.0889,-0.14844,-0.20147,-0.23331,-0.23328,-0.21548,-0.18793,-0.15799,-0.09387,-0.02489,0.01242,0.06352,0.09961,0.15376,0.5227,-0.037509,0.0048,
10,6.024,0.013073,0.5622,0.006,0.5605,-0.045995,0.015081,0.5619,1.00E+06,0.182,2363.56,62.44,0,0,0.14562,0.10755,0.04507,-0.02058,-0.08464,-0.2362,-0.40568,-0.4933,-0.58442,-0.66974,-0.75448,-0.7947,-0.82242,-0.84809,-0.90539,-0.96213,-1.06182,-1.13427,-1.23254,-1.31161,-1.43187,-1.56931,-1.80736,-2.1209,0.00248,0.00273,0.99786,0.8732,0.68681,0.56038,0.46806,0.3833,0.30724,0.25516,0.00943,-0.06158,-0.12381,-0.17927,-0.21356,-0.21613,-0.20086,-0.17543,-0.14725,-0.08689,-0.02963,0.01528,0.06258,0.09497,0.14562,0.5604,-0.043949,0.006,
11,7.027,0.014409,0.6468,0.0088,0.6437,-0.064834,0.019088,0.646,1.00E+06,0.182,2361.9,62.43,0,0,0.12937,0.0961,0.04193,-0.02079,-0.08496,-0.2397,-0.41612,-0.50875,-0.60563,-0.69715,-0.78904,-0.838,-0.87536,-0.91242,-0.98518,-1.06579,-1.19268,-1.2632,-1.32653,-1.5325,-1.72463,-1.8645,-2.14998,-2.61321,-0.37971,-0.3784,0.99594,0.93551,0.77058,0.64828,0.55551,0.46746,0.38877,0.33409,0.07216,-0.00534,-0.07304,-0.13328,-0.17246,-0.18021,-0.17021,-0.14921,-0.12492,-0.06905,-0.03508,0.01697,0.062,0.08782,0.12937,0.6437,-0.060083,0.0088,
12,8.036,0.015864,0.7254,0.0115,0.7205,-0.085699,0.024202,0.7238,1.00E+06,0.182,2359.15,62.4,0,0,0.11051,0.07914,0.0343,-0.02187,-0.08415,-0.23974,-0.42308,-0.52101,-0.62347,-0.72195,-0.82073,-0.8786,-0.92536,-0.97266,-1.06037,-1.16108,-1.32181,-1.41209,-1.50152,-1.58493,-1.78048,-2.23432,-2.5476,-3.12572,-0.81788,-0.81636,0.9675,0.97597,0.84014,0.72544,0.63404,0.54469,0.46453,0.40776,0.13209,0.04863,-0.02408,-0.08906,-0.1328,-0.14569,-0.14076,-0.12426,-0.10414,-0.05291,-0.02717,0.00632,0.05961,0.08044,0.11051,0.7204,-0.077232,0.0115,
13,9.04,0.017798,0.7993,0.0149,0.7921,-0.107999,0.029851,0.7966,1.00E+06,0.182,2357.2,62.39,0,0,0.06965,0.05343,0.02068,-0.02643,-0.08277,-0.23477,-0.42434,-0.52715,-0.63572,-0.7413,-0.84751,-0.91426,-0.97084,-1.02975,-1.13105,-1.25162,-1.44404,-1.54996,-1.66107,-1.79299,-2.00104,-2.27121,-3.04244,-3.65592,-1.29808,-1.29658,0.91054,0.9951,0.8957,0.79117,0.70289,0.61373,0.5333,0.47521,0.18854,0.09973,0.02246,-0.04675,-0.09505,-0.11276,-0.11275,-0.10067,-0.08478,-0.03948,-0.01604,0.00347,0.05047,0.05284,0.06965,0.7921,-0.095736,0.0149,
14,10.038,0.020261,0.8779,0.0173,0.868,-0.133073,0.035389,0.8742,1.00E+06,0.182,2355.43,62.37,0,0,0.03903,0.0152,-0.00719,-0.04183,-0.08707,-0.22687,-0.41946,-0.52807,-0.64322,-0.75643,-0.87023,-0.94722,-1.01386,-1.08544,-1.20138,-1.34243,-1.56829,-1.68935,-1.82162,-1.98138,-2.24302,-2.49655,-3.62343,-4.22092,-1.83925,-1.83764,0.82345,0.9972,0.93951,0.84862,0.76536,0.67826,0.59844,0.53944,0.24426,0.15064,0.06923,-0.00398,-0.05648,-0.07901,-0.08383,-0.0761,-0.06435,-0.02602,-0.00503,0.01102,0.03547,0.03875,0.03903,0.868,-0.117639,0.0173,
15,11.041,0.023732,0.9273,0.0225,0.9147,-0.154295,0.041405,0.9226,1.00E+06,0.182,2353.58,62.35,0,0,-0.01098,-0.03581,-0.04754,-0.06805,-0.09516,-0.20141,-0.38809,-0.50212,-0.62456,-0.74659,-0.86912,-0.95693,-1.03514,-1.11901,-1.2495,-1.40946,-1.66617,-1.79951,-1.94986,-2.13511,-2.43055,-2.71832,-4.05228,-4.69945,-2.33553,-2.33401,0.72699,0.98834,0.96679,0.88945,0.81203,0.72773,0.649,0.5902,0.28841,0.19049,0.10519,0.0281,-0.02858,-0.05578,-0.06533,-0.06194,-0.05451,-0.02406,-0.00661,0.00554,0.0139,0.00815,-0.01098,0.9146,-0.136216,0.0225,
16,12.043,0.029503,0.9531,0.0272,0.9383,-0.17001,0.048215,0.9478,9.99E+05,0.182,2352.55,62.35,0,0,-0.07884,-0.11088,-0.11457,-0.12414,-0.13651,-0.17986,-0.31504,-0.42958,-0.562,-0.69754,-0.83391,-0.93711,-1.0323,-1.12894,-1.27422,-1.45332,-1.73773,-1.88369,-2.05053,-2.26142,-2.58528,-2.90776,-4.27205,-5.1216,-2.79655,-2.79528,0.62413,0.96934,0.98439,0.92085,0.84973,0.76866,0.69207,0.63328,0.32653,0.22478,0.13579,0.05487,-0.00594,-0.03774,-0.05206,-0.05312,-0.05024,-0.02859,-0.01567,-0.00894,-0.01604,-0.03383,-0.07884,0.9383,-0.150818,0.0272,
17,13.042,0.039403,0.9453,0.0263,0.9298,-0.174936,0.056348,0.9401,9.99E+05,0.182,2351.53,62.34,0,0,-0.17868,-0.23054,-0.22914,-0.23372,-0.23971,-0.25939,-0.27538,-0.29387,-0.35928,-0.49465,-0.66418,-0.81161,-0.94861,-1.06988,-1.23846,-1.44238,-1.75659,-1.91159,-2.09315,-2.32409,-2.66572,-3.01698,-4.6864,-5.35657,-3.17064,-3.16924,0.52994,0.94676,0.99322,0.94272,0.87785,0.79989,0.72524,0.66768,0.35753,0.25244,0.16003,0.07541,0.01046,-0.0259,-0.045,-0.05061,-0.05245,-0.04055,-0.03305,-0.03284,-0.05939,-0.09376,-0.17868,0.9297,-0.157538,0.0263,
18,13.536,0.04499,0.9366,0.0212,0.9212,-0.175489,0.063757,0.9308,9.98E+05,0.182,2350.36,62.33,0,0,-0.21625,-0.2791,-0.28656,-0.29126,-0.29657,-0.31042,-0.31714,-0.31781,-0.33086,-0.38712,-0.5272,-0.69567,-0.85654,-1.00307,-1.19195,-1.41167,-1.74298,-1.90192,-2.09033,-2.32739,-2.6809,-3.049,-4.7011,-5.45519,-3.32195,-3.32018,0.48877,0.93567,0.99577,0.95086,0.88902,0.81286,0.73945,0.68203,0.37095,0.26445,0.17051,0.0842,0.01739,-0.02106,-0.04233,-0.05002,-0.05406,-0.04667,-0.04162,-0.04433,-0.07924,-0.12144,-0.21625,0.9211,-0.156202,0.0212,
19,14.04,0.049633,0.924,0.0166,0.9085,-0.176017,0.071473,0.917,9.97E+05,0.181,2347.6,62.31,0,0,-0.25109,-0.32059,-0.33263,-0.33742,-0.34139,-0.34804,-0.35035,-0.3472,-0.3477,-0.35894,-0.42107,-0.56389,-0.73917,-0.9259,-1.12764,-1.36594,-1.71448,-1.87792,-2.07314,-2.31326,-2.68063,-3.06363,-4.6942,-5.53041,-3.44939,-3.44805,0.45195,0.92464,0.99713,0.9578,0.89822,0.824,0.75125,0.69414,0.3824,0.27452,0.17906,0.09106,0.02236,-0.01817,-0.04153,-0.05124,-0.05742,-0.05435,-0.05159,-0.05703,-0.09927,-0.14796,-0.25109,0.9084,-0.153528,0.0166,
